diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
source_mat_id error,ws,source_mat_id,9,EMOBON_NRMCB_Wa_9,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,10,EMOBON_NRMCB_Wa_10,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,11,EMOBON_NRMCB_Wa_11,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,12,EMOBON_NRMCB_Wa_12,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_3um_blank_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,13,EMOBON_NRMCB_Wa_13,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,14,EMOBON_NRMCB_Wa_14,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,15,EMOBON_NRMCB_Wa_15,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,16,EMOBON_NRMCB_Wa_16,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,17,EMOBON_NRMCB_Wa_17,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,18,EMOBON_NRMCB_Wa_18,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,19,EMOBON_NRMCB_Wa_19,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,20,EMOBON_NRMCB_Wa_20,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,21,EMOBON_NRMCB_Wa_21,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,22,EMOBON_NRMCB_Wa_22,,source_mat_id should match ^EMOBON_NRMCB_Wa_210621_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,23,EMOBON_NRMCB_Wa_23,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,24,EMOBON_NRMCB_Wa_24,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,25,EMOBON_NRMCB_Wa_25,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,26,EMOBON_NRMCB_Wa_26,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,27,EMOBON_NRMCB_Wa_27,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,28,EMOBON_NRMCB_Wa_28,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,29,EMOBON_NRMCB_Wa_29,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,30,EMOBON_NRMCB_Wa_30,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,31,EMOBON_NRMCB_Wa_31,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,32,EMOBON_NRMCB_Wa_32,,source_mat_id should match ^EMOBON_NRMCB_Wa_210831_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
